	TRAVELRES13	TRAVELRES35	TRAVELRES37	TRAVELRES39	TRAVELRES57	TRAVELRES59	TRAVELRES63	TRAVELRES65	TRAVELRES67	TRAVELRES47	TRAVELRES23	TRAVELRES70	TRAVELRES21	TRAVELRES27	TRAVELRES1	TRAVELRES3	TRAVELRES5	TRAVELRES17	TRAVELRES19	TRAVELRES25	TRAVELRES41	TRAVELRES43	TRAVELRES45	TRAVELRES55	TRAVELRES7	TRAVELRES11	TRAVELRES15	TRAVELRES29	TRAVELRES31	TRAVELRES33	TRAVELRES61	TRAVELRES9	TRAVELRES53	TRAVELRES49	TRAVELRES51	TRAVELRES14	TRAVELRES36	TRAVELRES38	TRAVELRES40	TRAVELRES58	TRAVELRES60	TRAVELRES64	TRAVELRES66	TRAVELRES68	TRAVELRES48	TRAVELRES24	TRAVELRES69	TRAVELRES22	TRAVELRES28	TRAVELRES2	TRAVELRES4	TRAVELRES6	TRAVELRES18	TRAVELRES20	TRAVELRES26	TRAVELRES42	TRAVELRES44	TRAVELRES46	TRAVELRES56	TRAVELRES8	TRAVELRES12	TRAVELRES16	TRAVELRES30	TRAVELRES32	TRAVELRES34	TRAVELRES62	TRAVELRES10	TRAVELRES54	TRAVELRES50	TRAVELRES52
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Saccharomycetaceae|g__Saccharomyces	0	0.00448	0	0.00026	0.00351	0.00523	0	0.00782	0.00391	0	0	0.00151	0	0	0	0	0	0	0	0	0.00011	0.00437	0	0.00349	6e-04	0.00482	0.00102	0.00711	0.01562	0	0.02589	0	0.00141	0	0	0.02628	0	0	0	0	0.00536	0	0	0	0	0	0.01016	0	0.00152	0	0	0	0.0278	0.00171	0.00377	0	0	0	0.00039	0.00298	0.00404	0.00218	0	0	0.00027	0.00355	0	0.00025	0	0.00013
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Turicibacter	0	0.00389	0.00483	0	0.00382	0	0.01075	0	0	0	0	0	0.02638	0.03395	0.00205	0.00295	0	0.00017	0	0.00039	0.01173	0	0.00135	0	0.03317	0	0.0056	7e-04	5e-04	0	0.00134	0	0	0	0	0.00671	0	0	0	0.00151	0	0	0	0	0	0	0.00188	0.00201	0.00165	0	0.00438	0	0.00032	0	0.00676	3e-04	0	0	0	0.00306	0	0.00238	0	0	0.00068	0.00407	0.00037	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Gordonibacter	0	0.00238	0	0.00481	0	0	0	0	0	0	0	0.00077	0.06754	0.0125	0.01511	0.00497	0	0	0.00901	0	0	0	0.00191	0.00508	0.00245	0	4e-04	0.00569	0.00027	0.01119	0	0.00327	0.03055	0	0.00396	0	0.00057	0	0	0	0	0	0	0	0	0	2e-04	0.00564	0.01109	0.00012	0.03866	0	6e-05	0	0	0	0	0.00284	0.00108	0	0	0.00505	0.02059	0	0.00678	0	0	0.01461	0.00029	0
k__Bacteria|p__Deinococcus_Thermus|c__Deinococci|o__Deinococcales|f__Deinococcaceae|g__Deinococcus	0	0.00111	0.00115	0.00075	7e-04	0	0	0	0.00128	0.00248	0	0.0025	0.00125	0.00216	0.00787	0	0.00402	0.00943	0.00383	0	0.00148	0	0.00077	0.0029	0	0.00243	0.0015	0	0	0.00093	0	0.00142	0	0	0.00544	0.00346	0.00176	0.00157	0.00135	0	0	0	9e-04	0	0.00411	0.00173	0.00213	0.00082	0.00239	0.00184	0	0.00386	0.00178	0	0.00265	8e-04	0.00094	0.00129	0.00473	0	0	0	0	0	0	0	0.00141	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces	0	0.00032	0	0.00052	0	0	0	0	0	0	0	0	0	0	0.00097	0.00646	0	0	0	0	0	0	0	0.00299	0	0	0	0	0	0	0.00086	0.00106	0	0.00489	0	0	0	0	0	0	0.00148	0	0	0	0	0	0	0.00119	0.0024	0	0.00733	0	0.00256	0	0	0	0	0	0.00201	2e-04	0	0.00019	0	0	0.00024	0.00149	0.00176	0	0.00147	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Butyrivibrio|s__Butyrivibrio_crossotus	0	13.62776	0	0	0	0	0	0	0	0.00679	0	0	0	0	0.03717	0	0	0	0	0	0	0	0.73006	0	0.00176	0	0	0.00173	0.00152	0.00015	0	17.31588	0	0.00756	0	0	0	0	0	0	0	2.70582	0	0	10.40279	0	0	0	0	33.24121	0	0	0.00036	0	0	0.00205	0.00014	5.88946	0	0.00078	0	0	0.08344	0	0	0	0.00667	0	0	0
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Siphoviridae|g__Siphoviridae_noname|s__Lactococcus_phage_P680	0	11.82778	0.47068	19.72555	33.38947	0.74586	0	0.14052	0	0	0.02492	0	0.32742	0.09418	0.48931	5.06442	0.22529	0	0	40.24085	0	0.23524	20.49495	0.02705	0	5.76521	0	0.24633	0	0	0	0.02648	0.04305	31.86307	5.80552	0	0.03277	0	0	13.55819	0.16764	0	24.71032	0.37976	0.07664	0	4.4112	22.86468	12.15448	0	0.05396	5.10091	0.91505	1.054	0.04945	48.51482	0.05238	0.28864	0.14707	0	0	0	0	0	0	0.23295	0.94853	0.28977	6.22883	0
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Siphoviridae|g__Siphoviridae_noname|s__Lactococcus_phage_jm2	0	10.71111	0.45115	4.00907	12.59316	0	0	0	0	0	0	0	3.27672	2.41797	0	7.44456	0	0	0	7.26459	0	0.24003	4.49326	0	0.63689	10.08971	0	4.49019	0	0	0	0.5675	0	12.29037	2.01598	0	0.46814	0	2.51504	7.68373	0	0	7.19155	0.33428	0	0	17.93536	2.1384	9.17643	0	0.42548	4.29128	0.43935	0.33135	0	1.82431	0	0	0.24011	0	0	0	0	0	0	0	12.64014	0	2.79557	0
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Siphoviridae|g__Siphoviridae_noname|s__Lactococcus_phage_phi7	0	9.26905	0.26717	6.4644	6.2502	0	0	0	0.10097	0	0.0383	0	1.76537	0.13671	0.33842	1.66713	0	0	0	5.19089	0	0.17432	6.07986	0	0.51473	3.58477	0	1.9595	0	0	0	0	0	7.54516	1.23169	0	0	0	0	5.56157	0.17846	0	4.039	0.19294	2.1249	0	15.37381	3.17322	2.0956	0	0.7754	2.65831	0.19804	0.33514	0	2.81872	0	0	0.0854	0	0	0	0.03437	0	0	0	5.10218	0.45122	1.49904	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_eggerthii	0	5.16673	0	0	7e-04	0	0	0	0.22312	0.61009	0	4.31259	0	0.00386	0	0.00157	0.24613	0	0	0.05248	0	3.82222	0.00031	2.76675	0.00041	0	0	0.00078	0.00092	0	1.55687	0	0	0.00074	0	0	8.6343	0	0	0.16765	0.6583	0	0	0.03786	1.92922	0	2.7701	0	1.53552	0	0.0012	0.82254	0	0	0.21742	2e-04	1.31454	0	0.00645	0	0	1.47845	0.03109	0	0	2.20409	0	0.00088	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_massiliensis	0	2.74968	0	0.00024	0	13.92237	0	0	2.08584	0.00054	0	9.07564	3.16724	0	0	0	0.96588	2.67137	0	0	10.1468	9.06963	0.00025	5.91623	1.81065	0	0	0.06718	0.04631	0	0.46819	0	0	0.06663	0.00019	0	2.38778	0	0	0	9.85804	0	2e-04	3.53521	4e-04	0	5.10833	6.66936	0	0	0	3.46245	3.30619	0.30277	0.00101	4.88028	0.47375	0.30071	1.67763	0.96288	0	1.52772	0.22453	0	0	0.76183	0	0.00341	2.94394	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Barnesiella|s__Barnesiella_intestinihominis	0	1.84029	0	1.61407	0.09314	0	0.23683	0	0.1956	3.07695	2.01488	0.1199	4.72417	1.35278	10.61854	1.72327	2.26273	1.59427	1.65619	0.92751	3.17439	0.00034	4.28604	2.09421	0.9639	0.7037	5.15382	0.1796	3.92448	1.61502	1.57752	0.42782	0	6.22556	0.00267	0.03861	5.15757	0	3.42787	0.49072	0.39567	0.27787	0	0.07643	7.82144	4.93684	1.24109	3.70131	2.00236	4.85485	0.84151	4.81387	1.07813	1.76309	2.35246	1.13443	0.00265	7.97204	3.7406	0.451	2.46264	4.12876	5.60227	6.14954	3.0441	2.99767	0.69978	0.00069	6.42121	0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Dialister|s__Dialister_invisus	0	1.51594	0.22941	0.96413	0	0	0	0	0	0	4.68075	1.11586	0.00265	2.54206	8.61969	1.8327	6.0959	0	2.12595	0	0.00423	0.3092	1.25998	0.53893	0.02665	0.03192	0.42352	0.0707	8.31533	1.82854	2.25467	0	0.11389	0	0	0	1.68979	0.18537	3.89136	0	0.11831	0	0	0	0	3.79629	0.62683	0.02491	0.21563	3.56067	2.00215	11.34771	0	0.00453	0	0.00045	1.41351	0.00183	0.00069	0.3733	0	0.02209	0.03905	0	4.30994	0.00154	0	1.49594	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_bromii	0	1.01771	0	4.06057	3.71078	0.01244	1.4714	1.66326	13.57596	0.52462	2.76134	1.35234	1.20801	3.62103	0.00391	0	0.28889	0	7.94199	1.2573	0.46447	0	1.66484	0.98473	0.62053	3.32183	3.04399	0.27791	0.35764	1.47186	1.09354	2.45209	0.00036	0	0.65482	3.31839	1.47817	0	0.0457	1.02394	0.13798	0.22087	0.00108	0.72252	0	3.73172	0.96367	0.0228	2.0879	0.00276	0	0.78243	4e-04	0.02278	12.02125	0.01049	0.16701	1.0676	0.00144	2.77746	0.40633	0	8.4806	0	0.00057	1.05855	0.65709	0	0.00309	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_L2_50	0	0.84245	0	5.21783	0	0	0	0	0	1.6988	0	0	5.98571	0	0	0	0	0	1.55547	0	0	0	1.04854	0	1.14142	5.34893	1.43826	0	0	1.00124	0	1.36014	0	0	0	0	2.05874	0	1.68915	0	0.1551	0	0	0	0	0	0	0.12297	0	0	0	0	0	0	0	0	0	6.37714	0	0	1.56239	8.43253	0	0	0	0	1.13566	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_faecis	0	0.65246	0	0.45052	0.00029	4.1029	6.28276	0	0.00176	0.85659	0.01883	0	0.38909	0.44744	0	0.00905	0.07798	0	0.00318	0.06793	0.00032	0	0.04405	0.01055	0.00674	0	0	0.00081	0.03026	0	0.59317	0	0	0.00523	0	0.00094	2.41548	0	0.5699	0	2.08463	2.62947	0	0.00095	0.95594	0	0	0.44172	1.20552	0	0.00941	0.05216	0	0.01052	0.55227	4e-05	0	0.01047	0.00701	0.00988	0	0	0.00214	0.01245	0	0.63358	0	0.00115	0.00262	0.00028
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_noname|g__Bacteroidales_noname|s__Bacteroidales_bacterium_ph8	0	0.54136	0	1.2163	0.05352	0.30982	0.18653	0.89906	0.03251	0.21102	0.40746	0	0	0.91162	3.37822	1.13814	0.43785	0.12643	0	0.44061	0.6511	0.78827	3.72824	0.10482	0.32651	0.91622	0	0.17459	0.02808	0.49622	1.12506	1.40175	0.29207	0.03557	0.00012	0	0.9035	0	1.4867	0.26915	0.28617	0.10457	0.68027	0.00622	0.05782	1.6302	0	0	0.09773	0.56161	0.71779	2.02658	0.10173	0	0.27013	0.04773	0.20689	1.89954	0.21594	0.06521	0.42843	0	0.83434	0	0.20666	1.93304	2.2646	1.53787	1.01489	0
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Siphoviridae|g__Siphoviridae_noname|s__Leuconostoc_phage_P793	0	0.29413	0.02742	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.84856	0.46823	0	0	0	0	1.87291	0	0	6.46622	0.1241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_sp_AP11	0	0.14089	0	0	0	0.09494	0	0	0	0	0	0.13779	0	0	0	0	0.44973	0.05617	0.32858	0	0.19955	0	0.58005	0.0918	0	0	0.46447	0	0	0	0.27207	0.49835	0	0.23544	0	0	0.68182	0	0	0	0.09214	0	0.05511	0	0	0	0.26488	0	0	0	0	1.04657	0	0	0	0.15342	0	0.31926	0	0	0	0	0	0	0	0.67396	0.30557	0	0.05734	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_bifidum	0	0.07652	0	0.33896	0	0	0.02122	0	0	0	0.01336	0	0	0	0.01577	0	0	0	0	0	0.05592	0.29967	0	0.22673	0.0071	0	0	0	0.09686	0	0.00344	0.5625	0	0	0	0	0.01132	0	0.11581	0	0	0	0	0	0	0.09842	0	0	0	0	0	0	0	0	0	0.02033	0.04553	0	0.14088	0.05318	0	0	0	0.41453	0	0.02814	0.22427	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_smithii	0	0.07385	0	0	0	0	0.07694	0	0.00152	0	0	0.05562	0	0.13401	0	0	0.0054	0	0	0.03226	0	0	0	0.05394	0	0.25509	0	0	0	0	0	0.50736	0	0.03805	0	0.01886	0.00469	0	0	0	0	0.03882	0	0	0	0	0.08317	0	0.03726	0	0	0.05033	0	0	0.00359	0	0	0	0	0	0.09585	0	0	0	0	0.85523	0.09049	0	0.09369	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Coprobacter|s__Coprobacter_fastidiosus	0	0.06604	0	0.02234	0	0.18029	0.11217	0.0096	0.00813	0	0	0.22336	0	0.01058	0.06662	0.0152	0.00925	0.03891	0.08079	0.10408	0.17616	0.00659	0	0.14677	0	0	0	0.00038	7e-05	0	0	0.02028	0.05279	0.19152	0	0	0.34326	0	0.11351	0	0.1124	0.10876	0.03992	0.01217	0	0	0.1335	0.06055	0.02041	0.12058	0.0146	0.00684	0.01834	0	0.02192	0.07499	0.00676	0.08762	0.00045	0	0	0	0.00432	0	0	0	0.02477	0.34268	0.07602	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides|s__Parabacteroides_goldsteinii	0	0.06582	0	0.19229	0	0	0	0.00066	0	0.63311	0	0	0	0	0	0	0	0	0	0.06453	0	0	0.02849	0.08474	0.00717	0.00138	0	0.06433	0	0	0	0	0	0	0	0	0.03613	0	0.21686	0	0.00192	0	0.00054	0	0.85497	0	0	0	0.03157	0	0	0	0	0.00241	0.09334	0	0	0.00084	0.2096	0	0.01827	0	0.00887	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_catenulatum	0	0.06026	0	0	0.00735	0	0.03865	0	0.00839	0	0	0	0	0	0	0.01226	0	0	0	0	0	0.10965	0	0.00147	0	0	0	0	0.04775	0	0	0.00328	0	0.00083	0	0	0.0454	0	0	0.0069	0.00334	0.08052	0	0.00041	0	0	0	0	0	0	0.04279	0.00029	0	0.0238	0	0.00455	0.02621	0	0	0.00075	0	0	0	0.01711	0.00177	0.00012	0.00647	0.00349	0.00393	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Subdoligranulum|s__Subdoligranulum_sp_4_3_54A2FAA	0	0.03617	0.09606	0.05004	0	0	0	0	0	0	0	0	0.11495	0.02795	0	0	0	0	0.0336	0	0	0	0	0.04053	0	0	0	0.03697	0	0	0	0.3252	0.27518	0	0.02393	0	0	0.05986	0	0	0	0	0	0	0.02897	0	0	0.07598	0	0.03506	0.16946	0	0	0	0	0	0	0.03675	0.05606	0	0.17198	0	0	0.0845	0.39871	0	0	0.07739	0.0492	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_intestinalis	0	0.03355	15.48802	0.01284	0.24056	0.23296	0.46824	0.00703	0.60788	6.62036	4.09096	3.61779	0.82784	0.27248	0	0.54266	0.02302	0	0.00438	0.73313	0.17203	8.5557	0.01042	2.43515	13.36259	0.96115	0	0.4549	0.13444	8.19733	0.9933	0.00178	0.18558	0	0	2.19505	2.57114	15.15311	0.35414	0	0.28066	0.00283	0	0	0.17851	1.68656	0.3081	0.7644	1.40598	0	0.10456	0.10045	0	0	0.07179	0.16388	14.76499	0.02549	0.00678	0.43567	0.00442	1.60121	0.43962	9.89032	0	0.46762	0.08808	0.50408	0	0.00031
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_ramulus	0	0.03354	0.0298	0.00263	0.0644	0.09347	0.06875	0	0.31441	0.1763	0.10236	0.0512	0.02777	0.13608	0.02268	0.07085	0.0236	0.01483	0.17877	0.00596	0.01848	0.15696	0.00733	0.06594	0.03278	0.06622	0.17921	0.11201	0.00331	0.09005	0.00364	0.01146	0	0.01805	0.07352	0.17928	0.16625	0.07824	0.00823	0.06196	0.13023	0.04266	0.00089	0.01813	0.01402	0.03485	0.02193	0.08779	0.02875	0.00684	0.06087	0.05072	0.02042	0.01976	0.06019	0.01185	0.20889	0.09107	0.04498	0.08125	0.13175	0.15386	0.0145	0.09189	0	0.00187	0.0063	0	0.03542	0.08881
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_coli	0	0.02621	0.01048	0	0.00138	0.13858	0.39017	0.07138	0.00306	0.00779	0.09744	0.00065	0.03355	0.00147	0.32519	0.01814	0.00156	0.00135	0.04153	0.00046	0	0	0.08706	0.13208	0.15418	0.39399	0.05601	0.57908	0.03375	0.01315	0.02601	5.83091	5.2533	0	0.17697	0.63353	0	0.52441	0.03487	0.09829	0.01837	0.75055	0.02997	1.42305	0.02528	0.01535	0.01547	0.13382	0.07869	1.77079	1.89062	0.84566	1.04424	0.21075	1.1101	0.06397	0.07168	0.137	0.05573	0.68916	0.03208	0.07223	0.51978	0.03599	2.1231	0.22072	0.30931	0.64646	0.20961	9.0112
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_callidus	0	0.00727	0	0	0	0.01973	0.38972	0.1153	0.29421	0	0	0.12522	0	0.00328	1.53764	0	0.02177	0.25071	0	0	0.04988	0	0	0.07973	0.03526	0	0	0.01521	0.03703	0.0279	0.20666	0.00468	0	0.00609	0.07296	0	0.00296	0.01096	0.00414	0.09809	0.11167	0.00502	0.23936	0.06705	0	0	0.02205	0	0.18257	0.46853	0	0.00176	0.70817	0.50289	0.00034	0.02024	0	0.05343	0	0.02898	0	0	0.54871	0	0	0.73978	0.00342	0	0.17555	0.00384
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Holdemania|s__Holdemania_unclassified	0	0.00723	0	0.00293	0.00384	0	0.00098	0.12252	0.00127	0.00475	0	0	0.01441	0.00032	0.01165	0.01071	0	0.0058	0	0	0	0.00567	0	0.01868	0.00148	0	0.00245	0.00269	0.00357	0	0	0.0119	0	0	0	0	0.00352	0.01228	0.00141	0.00165	0	0.0062	0.00926	0	0	0	0	0.00884	0	0.00816	0.01735	0	0.0028	0.00075	0	0	0.00821	0.00353	0.02746	0.00208	0	0	0.04039	0.00912	0	0	0.00419	0	0	9e-04
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Siphoviridae|g__C2likevirus|s__C2likevirus_unclassified	0	0.00682	0.00471	0	0	0.00178	0	0.01546	0	0	0	0	0.14406	0.00666	0.50862	8.56221	0	0.01128	0.00262	0.15394	0	0	0	0.01785	0.0011	0.04244	0	0.01355	0.00141	0.01528	0	0.00437	0.00178	0.03549	0.00223	0.02133	0	0	0.03189	0	0.01229	0	0	0	0	0	0	0.01758	0	0	0.00445	0.00297	0	0	0	0.00246	0	0	0.00809	0.00162	0	0.00198	0.00359	0	0	0	0.0029	0	0.00113	0
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Viruses_noname|g__Viruses_noname|s__Sida_yellow_vein_Vietnam_virus_satellite_DNA_beta	0	0.00542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_pseudocatenulatum	0	0.0045	0	0	0.00076	0.03625	0	0	0	0.25424	0	0	0.05047	0	0	0.0024	0	0	0	0	0	0.01411	0.01113	0.02494	0	0	0.07176	0	0.13624	0.04347	0	0.00334	0	0	0	0	0.02273	0	0	0.00389	0.01106	0	0	0	0.01396	0	0	0.09997	0	0	0.0105	0	0	0	0.00697	0	0.00321	0.01505	0.01509	0.00309	0	0.00792	0	0.08803	0.21078	0	0	0.28835	0	0
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Saccharomycetaceae|g__Saccharomyces|s__Saccharomyces_cerevisiae	0	0.00448	0	0.00026	0.00351	0.00523	0	0.00782	0.00391	0	0	0.00151	0	0	0	0	0	0	0	0	0.00011	0.00437	0	0.00349	6e-04	0.00482	0.00102	0.00711	0.01562	0	0.02589	0	0.00141	0	0	0.02628	0	0	0	0	0.00536	0	0	0	0	0	0.01016	0	0.00152	0	0	0	0.0278	0.00171	0.00377	0	0	0	0.00039	0.00298	0.00404	0.00218	0	0	0.00027	0.00355	0	0.00025	0	0.00013
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Turicibacter|s__Turicibacter_unclassified	0	0.00319	0.00277	0	8e-05	0	0.00671	0	0	0	0	0	0.00087	0	0.00205	0.00295	0	0.00017	0	0.00015	0.00938	0	0.00063	0	0.01457	0	0.00367	0	0	0	0.00118	0	0	0	0	0.00628	0	0	0	0.00151	0	0	0	0	0	0	0.00075	0.00056	0.00095	0	0.00189	0	0.00011	0	0.00214	0.00011	0	0	0	0.00204	0	0.00238	0	0	0.00068	0.0035	0.00037	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus|s__Lactococcus_raffinolactis	0	0.0031	0	0	0.01311	0	0	0	0	0	0	0	0.00033	0.00811	0	0.00464	0	0	0	0.00076	0	0	0.00572	0	0	0.02331	0	0.00153	0	0	0	0	0.00046	0.00108	0	0	0	0	0	0	0.00178	0	0	0.00087	0	0	0.00075	0.00011	0.00143	0	0	0	0.0142	0.00363	0	0.00022	0	0	0	0	0	0	0.00216	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus|s__Lactococcus_lactis	0	0.00306	0	0.00605	0.02986	0.15251	0	0	0	0	0	0.00382	0.01171	0.02513	0.00693	0.01311	0	0	0	0.00929	0.00354	0.00307	0.01191	0.00769	0.00304	0.02061	0	0.0076	0.00152	0	0	0	0.00028	0.03637	0	0	0.00013	0	0.02874	0.001	0.03068	0	0.00131	0.00789	0	0	0.00875	0.00466	0.00555	0.00503	0.02755	0	0.04158	0.01258	0.02011	0.01644	0	0	0.00392	0.00303	0	0	0.07343	0	0	0	0.01031	0.00345	0.01368	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Gordonibacter|s__Gordonibacter_pamelaeae	0	0.00238	0	0.00481	0	0	0	0	0	0	0	0.00077	0.06754	0.0125	0.01511	0.00497	0	0	0.00901	0	0	0	0.00191	0.00508	0.00245	0	4e-04	0.00569	0.00027	0.01119	0	0.00327	0.03055	0	0.00396	0	0.00057	0	0	0	0	0	0	0	0	0	2e-04	0.00564	0.01109	0.00012	0.03866	0	6e-05	0	0	0	0	0.00284	0.00108	0	0	0.00505	0.02059	0	0.00678	0	0	0.01461	0.00029	0
k__Bacteria|p__Deinococcus_Thermus|c__Deinococci|o__Deinococcales|f__Deinococcaceae|g__Deinococcus|s__Deinococcus_unclassified	0	0.00111	0.00115	0.00075	7e-04	0	0	0	0.00128	0.00248	0	0.0025	0.00125	0.00216	0.00787	0	0.00402	0.00943	0.00383	0	0.00148	0	0.00077	0.0029	0	0.00243	0.0015	0	0	0.00093	0	0.00142	0	0	0.00544	0.00346	0.00176	0.00157	0.00135	0	0	0	9e-04	0	0.00411	0.00173	0.00213	0.00082	0.00239	0.00184	0	0.00386	0.00178	0	0.00265	8e-04	0.00094	0.00129	0.00473	0	0	0	0	0	0	0	0.00141	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_albus	0	0.0011	0.00038	0	0	0.00766	0.00236	0	8e-05	0.01967	0.00111	0.00556	0	0.00083	0.01404	0.00532	0.00286	0.00069	0	0.00021	0.01222	0.00029	0.00092	0.00177	0.00121	0.00305	0.00277	0.00129	0.01076	0.00747	0.00233	0.00169	0	0	0.00347	0	0.00123	0.02347	0.00246	0.0079	0.00504	0	0.00077	0	0.00016	0.01019	0.00057	0	0.00104	0.00105	0.00249	0.00043	0.00022	0.0115	0.00033	0.00195	0.00031	0.00122	0.00109	0.00114	0	0.00059	0.00823	0	0	0.00285	0	0	0.0012	0.00201
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Turicibacter|s__Turicibacter_sanguinis	0	7e-04	0.00206	0	0.00374	0	0.00404	0	0	0	0	0	0.02551	0.03395	0	0	0	0	0	0.00024	0.00235	0	0.00072	0	0.0186	0	0.00192	7e-04	5e-04	0	0.00016	0	0	0	0	0.00043	0	0	0	0	0	0	0	0	0	0	0.00113	0.00144	7e-04	0	0.00248	0	0.00021	0	0.00463	0.00019	0	0	0	0.00102	0	0	0	0	0	0.00057	0	0	0	0
